,channel,electrode,x,y,orig_channel,mean_amp,spike_count,spike_amp_product
0,0,8405,787.5,665.0,0,0.408406925201416,0.12076217670674765,1.5784892111775966
1,1,13819,3132.5,1085.0,1,0.3783390283584595,0.0,1.3783390283584596
2,2,11480,700.0,910.0,2,0.45844779014587406,0.6865821790579821,2.4597920519465273
3,3,14261,3167.5,1120.0,3,0.3482757091522217,0.0,1.3482757091522217
4,4,11481,717.5,910.0,4,0.3824962377548218,0.5142589536666731,2.0934573064307287
5,5,13596,3080.0,1067.5,5,0.31827607154846194,0.32188816715540575,1.7426135400240246
6,6,7095,962.5,560.0,6,0.4389729976654053,0.7242267766692883,2.481115773478765
7,7,17925,1837.5,1417.5,7,0.2665203094482422,0.0,1.2665203094482422
8,8,7979,1032.5,630.0,8,0.7147275447845459,0.6929095352226329,2.902878610874652
9,9,16446,2905.0,1295.0,9,0.3754431486129761,0.0534381144875572,1.4489442370596823
10,10,12142,735.0,962.5,10,0.4330465793609619,0.0913530601050108,1.5639597696586038
11,11,14687,2922.5,1155.0,11,,,
12,12,11266,805.0,892.5,12,0.733330488204956,0.8910625321982928,3.2778363421613674
13,13,14041,3167.5,1102.5,13,,,
14,14,12584,770.0,997.5,14,,,
15,15,17884,1120.0,1417.5,15,,,
16,16,11043,752.5,875.0,16,0.32406196594238285,0.0534381144875572,1.394817340867032
17,17,14686,2905.0,1155.0,17,,,
18,18,18068,490.0,1435.0,18,0.36713891029357915,0.0534381144875572,1.4401962359022416
19,19,16666,2905.0,1312.5,19,,,
20,20,11039,682.5,875.0,20,0.34207541942596437,0.31602966458654785,1.7662110640770023
21,21,13154,3045.0,1032.5,21,0.35187141895294194,0.6394714207350757,2.216354555881922
22,22,9281,717.5,735.0,22,0.3691308975219727,0.6603747083210957,2.273270314626445
23,23,15355,3062.5,1207.5,23,,,
24,24,7517,647.5,595.0,24,0.5267041683197021,0.16510740282581546,1.778774328434315
25,25,14906,2905.0,1172.5,25,0.3454402685165405,0.0,1.3454402685165405
26,26,9723,752.5,770.0,26,0.34277908802032475,0.0534381144875572,1.4145346706574524
27,27,13167,3272.5,1032.5,27,0.34021303653717044,0.0,1.3402130365371705
28,28,11265,787.5,892.5,28,0.484419059753418,0.7099493446127467,2.538281398356027
29,29,13096,2030.0,1032.5,29,0.30219607353210454,0.0534381144875572,1.3717829763947604
30,30,9283,752.5,735.0,30,0.32319245338439945,0.0,1.3231924533843995
31,31,13168,3290.0,1032.5,31,0.27626464366912845,0.0,1.2762646436691285
32,32,11261,717.5,892.5,32,0.4311199188232422,0.7616672747455762,2.5211571272274513
33,33,12935,3062.5,1015.0,33,0.4493999481201172,0.9977775548875675,2.895578684409575
34,34,7756,980.0,612.5,34,0.7329231262207032,0.6347546093386427,2.832904068218825
35,35,14914,3045.0,1172.5,35,,,
36,36,6661,1067.5,525.0,36,0.40497899055480957,0.5407062690680849,2.1646599386567447
37,37,13767,2222.5,1085.0,37,0.2831738948822022,0.3380464919863125,1.716946328655544
38,38,8198,1015.0,647.5,38,0.5099331378936768,0.6806909365543431,2.5377309396609617
39,39,15356,3080.0,1207.5,39,0.2929260730743408,0.0534381144875572,1.362017604591235
40,40,11046,805.0,875.0,40,0.5049580097198486,0.5724901275173742,2.3665316126126585
41,41,13608,3290.0,1067.5,41,0.31449830532073975,0.0913530601050108,1.4345817480146401
42,42,9735,962.5,770.0,42,0.371785044670105,0.16510740282581546,1.5982769106308814
43,43,14828,1540.0,1172.5,43,0.3681539058685303,0.0534381144875572,1.4412654709269312
44,44,12143,752.5,962.5,44,0.33812990188598635,0.36946777907410505,1.8325257848484515
45,45,14826,1505.0,1172.5,45,0.2864264965057373,0.0534381144875572,1.3551707029058377
46,46,8194,945.0,647.5,46,0.4424464225769043,0.5654594149668383,2.2580913328082493
47,47,16667,2922.5,1312.5,47,,,
48,48,9721,717.5,770.0,48,0.2974664926528931,0.0534381144875572,1.3668006556310477
49,49,9393,2677.5,735.0,49,0.36173558235168457,0.12076217670674765,1.5261817353755047
50,50,8855,962.5,700.0,50,0.5049746036529541,0.6883704643882482,2.540954670462058
51,51,12714,3045.0,997.5,51,0.4150366306304932,0.673334849689306,2.3678301076209385
52,52,9731,892.5,770.0,52,0.37015810012817385,0.5245005786996392,2.088806816555399
53,53,13988,2240.0,1102.5,53,,,
54,54,19394,595.0,1540.0,54,,,
55,55,16447,2922.5,1295.0,55,0.3141296625137329,0.12076217670674765,1.472826821033795
56,56,8416,980.0,665.0,56,0.4141884326934815,0.4628027503132344,2.068678728805187
57,57,14039,3132.5,1102.5,57,0.3169627666473389,0.12076217670674765,1.4760020569894121
58,58,17849,507.5,1417.5,58,0.35480794906616214,0.0,1.3548079490661622
59,59,12927,2922.5,1015.0,59,0.3432213068008423,0.0,1.3432213068008423
60,60,11263,752.5,892.5,60,0.3267258167266846,0.30989857741838345,1.737876259954527
61,61,8955,2712.5,700.0,61,0.3168956279754639,0.676092983972625,2.207239522673899
62,62,9293,927.5,735.0,62,0.4598255634307862,0.7686106579013429,2.5818630501605213
63,63,19046,2205.0,1505.0,63,0.29004244804382323,0.0534381144875572,1.3589798840761975
